case,video,steps,source,num_applied_updates,num_gradient_calls,num_model_calls,vanilla_rollout_h1_error,vanilla_rollout_h1_p95,vanilla_rollout_h1_max,vanilla_rollout_h5_error,vanilla_rollout_h5_p95,vanilla_rollout_h5_max,vanilla_scorable_ball_transitions,vanilla_missing_ball_frames,vanilla_wrong_color_ball_frames,vanilla_extra_ball_frames,vanilla_metric_video,guided_rollout_h1_error,guided_rollout_h1_p95,guided_rollout_h1_max,guided_rollout_h5_error,guided_rollout_h5_p95,guided_rollout_h5_max,guided_scorable_ball_transitions,guided_missing_ball_frames,guided_wrong_color_ball_frames,guided_extra_ball_frames,guided_metric_video
7,00000/967.mp4,100,best-rollout1-matched-10samples-5steps-v1/case-7/steps-100/diagnostics.json,5625,5625,5725,0.23295242000295568,0.8984248842339073,2.2583790783202082,0.8581143187271513,2.6423395583558964,4.620443101162983,173,1,9,0,best-rollout1-matched-10samples-5steps-v1/case-7/steps-100/vanilla-diffusion.mp4,0.5391631955971219,1.875473329238134,6.042409330839897,1.7559861484801806,4.865539598496809,6.780013098615613,144,1,2,10,best-rollout1-matched-10samples-5steps-v1/case-7/steps-100/guided-final.mp4
8,00001/016.mp4,100,best-rollout1-matched-10samples-5steps-v1/case-8/steps-100/diagnostics.json,5625,5625,5725,0.17621826141944452,0.4901438909632648,1.0439353761948909,0.792122593000737,1.9075685932953252,3.1490913584357005,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-8/steps-100/vanilla-diffusion.mp4,0.4548519137635673,2.0544865205137715,3.67439182301425,1.6442257557875797,4.770125838048679,6.830611788692704,49,43,4,29,best-rollout1-matched-10samples-5steps-v1/case-8/steps-100/guided-final.mp4
9,00000/927.mp4,100,best-rollout1-matched-10samples-5steps-v1/case-9/steps-100/diagnostics.json,5625,5625,5725,0.2376161496868732,0.9276666792290744,1.7263739528685065,1.0253282653349245,3.4670113731747483,8.922916218042243,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-9/steps-100/vanilla-diffusion.mp4,0.7566621882942153,3.6598268307444304,7.7326594267603594,2.2653682439925698,7.111774968421752,8.180598210953733,158,0,4,7,best-rollout1-matched-10samples-5steps-v1/case-9/steps-100/guided-final.mp4
10,00000/221.mp4,100,best-rollout1-matched-10samples-5steps-v1/case-10/steps-100/diagnostics.json,5625,5625,5725,0.15332888585236468,0.44141546768920414,0.8081687586947964,0.6544097623049427,1.9077240309250478,4.527913289078955,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-10/steps-100/vanilla-diffusion.mp4,0.6188722720114862,3.108997263021203,3.953198481063309,1.7777051753723454,4.486906936767885,8.404024338916994,9,83,7,38,best-rollout1-matched-10samples-5steps-v1/case-10/steps-100/guided-final.mp4
1,00000/164.mp4,200,best-rollout1-matched-10samples-5steps-v1/case-1/steps-200/diagnostics.json,13125,13125,13325,0.1942435591432818,0.6126038749984071,1.3558264559485322,0.7845849163610116,2.009204946995392,4.46666659593963,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-1/steps-200/vanilla-diffusion.mp4,0.5639487033172214,2.367915303056227,5.110862966859774,1.7562265508254908,5.673957812468209,8.432782780803489,105,18,2,23,best-rollout1-matched-10samples-5steps-v1/case-1/steps-200/guided-final.mp4
2,00000/828.mp4,200,best-rollout1-matched-10samples-5steps-v1/case-2/steps-200/diagnostics.json,13125,13125,13325,0.1779798369185832,0.5475288500799722,1.4664326063881923,0.7375007016374295,2.0460514415079682,5.284333917854892,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-2/steps-200/vanilla-diffusion.mp4,0.5021864635622653,1.5732324181918147,4.089013722193361,1.829274362894198,4.5413254543297805,8.305702448713017,9,45,23,36,best-rollout1-matched-10samples-5steps-v1/case-2/steps-200/guided-final.mp4
3,00000/037.mp4,200,best-rollout1-matched-10samples-5steps-v1/case-3/steps-200/diagnostics.json,13125,13125,13325,0.14177602005013157,0.49563817657399584,0.9692634091645824,0.629809853708509,2.050315385764342,3.608317818017823,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-3/steps-200/vanilla-diffusion.mp4,0.39450835557858305,1.0647346154248343,2.4303312100072434,1.4848609515546611,3.6508014762190415,5.972097971084979,74,28,1,28,best-rollout1-matched-10samples-5steps-v1/case-3/steps-200/guided-final.mp4
4,00000/871.mp4,200,best-rollout1-matched-10samples-5steps-v1/case-4/steps-200/diagnostics.json,13125,13125,13325,0.26870465035601504,0.9690079384068888,3.6825647713796035,0.9236091143710728,3.204921806165333,6.4559125290984225,210,0,0,1,best-rollout1-matched-10samples-5steps-v1/case-4/steps-200/vanilla-diffusion.mp4,0.8892199526430947,3.6511504498785396,7.411928678328468,2.1567780326720536,6.149290645100388,8.407255315796979,164,1,2,7,best-rollout1-matched-10samples-5steps-v1/case-4/steps-200/guided-final.mp4
5,00000/066.mp4,200,best-rollout1-matched-10samples-5steps-v1/case-5/steps-200/diagnostics.json,13125,13125,13325,0.2599159592697932,0.933193789437748,4.400056914650627,0.8418322830568502,2.4590853792817082,5.71206531974769,40,36,5,33,best-rollout1-matched-10samples-5steps-v1/case-5/steps-200/vanilla-diffusion.mp4,0.4921475756068357,1.3191912940628039,3.6557794349331165,1.510882938947206,4.031516762500791,6.487203950142041,193,5,1,0,best-rollout1-matched-10samples-5steps-v1/case-5/steps-200/guided-final.mp4
6,00000/704.mp4,200,best-rollout1-matched-10samples-5steps-v1/case-6/steps-200/diagnostics.json,13125,13125,13325,0.1779436424613288,0.5136827461761532,0.9639004586947226,0.8448331116261215,2.1919159162984148,3.5741211608729198,220,0,0,0,best-rollout1-matched-10samples-5steps-v1/case-6/steps-200/vanilla-diffusion.mp4,0.3738924709429755,1.128559914292852,2.606398977027038,1.3845504303571565,3.50551591055733,5.625916763966989,9,42,1,40,best-rollout1-matched-10samples-5steps-v1/case-6/steps-200/guided-final.mp4
