balls,frames,generated_frames,seed,score_rmse,score_rmse_per_component,score_mse,score_mse_per_coordinate,score_mse_noise_se,elapsed_s,checkpoint
3,41,36,1,91.61431179227756,4.407795631241147,8393.182125172647,19.428662326788533,9.308078325696886,45.83707928657532,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_41f_3n_ball_d8_w256_s1_seed1/ema_0025000.pt
3,41,36,2,91.45362064128216,4.400064374634181,8363.76472839955,19.360566500924886,13.963540651984603,45.85955882072449,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_41f_3n_ball_d8_w256_s1_seed2/ema_0025000.pt
3,49,44,0,97.97716376034543,4.263908751147119,9599.524618521547,18.180917838108993,10.404451329448904,56.03208374977112,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_49f_3n_ball_d8_w256_s1_seed0/ema_0025000.pt
3,49,44,1,97.84424507100402,4.258124207678805,9573.496293514696,18.131621768020256,7.328776527089145,55.997071504592896,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_49f_3n_ball_d8_w256_s1_seed1/ema_0025000.pt
3,49,44,2,98.6410759140356,4.29280181901584,9730.061857478533,18.428147457345705,9.481816830900417,56.005953311920166,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_49f_3n_ball_d8_w256_s1_seed2/ema_0025000.pt
5,25,20,0,88.92781313935347,4.446390656967674,7908.155949747768,19.77038987436942,13.784776924673222,46.656371116638184,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_25f_5n_ball_d8_w256_s1_seed0/ema_0025000.pt
5,25,20,1,86.45040468059646,4.322520234029823,7473.672469438894,18.684181173597235,16.56704971412527,46.74379801750183,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_25f_5n_ball_d8_w256_s1_seed1/ema_0025000.pt
5,25,20,2,87.66623850704642,4.383311925352321,7685.3693739743485,19.213423434935873,17.91315487520085,46.75918006896973,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_25f_5n_ball_d8_w256_s1_seed2/ema_0025000.pt
5,33,28,0,104.00272779744687,4.394917395069199,10816.567389309828,19.315298909481836,16.805689679064326,62.4813015460968,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_33f_5n_ball_d8_w256_s1_seed0/ema_0025000.pt
5,33,28,1,100.99871816394568,4.26797481891925,10200.74107076013,18.215609054928805,12.801163331578069,62.35915470123291,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_33f_5n_ball_d8_w256_s1_seed1/ema_0025000.pt
5,33,28,2,104.82897918396726,4.429832888808852,10989.114876752641,19.623419422772574,17.521280091672697,62.54165863990784,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_33f_5n_ball_d8_w256_s1_seed2/ema_0025000.pt
5,41,36,0,113.83977339690644,4.242557864310916,12959.494007059006,17.999297232026397,13.633369350821177,78.78493547439575,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_41f_5n_ball_d8_w256_s1_seed0/ema_0025000.pt
5,41,36,1,109.86391901083186,4.094386519712525,12070.080700418624,16.764000972803647,14.649034536371307,78.66534113883972,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_41f_5n_ball_d8_w256_s1_seed1/ema_0025000.pt
5,41,36,2,113.01697483289978,4.211893972295781,12772.836600380302,17.74005083386153,13.76402738498356,78.8219964504242,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_41f_5n_ball_d8_w256_s1_seed2/ema_0025000.pt
5,49,44,0,121.04033037239674,4.0802687044787636,14650.761576658948,16.648592700748804,19.328302316039878,92.49796986579895,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_49f_5n_ball_d8_w256_s1_seed0/ema_0025000.pt
5,49,44,1,119.04516930867294,4.013011838741033,14171.752335730605,16.10426401787569,14.237908328908686,92.42104387283325,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_49f_5n_ball_d8_w256_s1_seed1/ema_0025000.pt
5,49,44,2,121.0858844638236,4.081804332587494,14661.791416386437,16.661126609530044,20.074912696085057,92.2819139957428,/scratch/wkim/code/seriality-gap/experiments/statebench/out/runs/indep_49f_5n_ball_d8_w256_s1_seed2/ema_0025000.pt
