frames,seed,steps,guide,strength,tag,channels,guide_start,x0_only,velocity_source,sample_time_s,run,calibration.rollout_paper_h1,calibration.rollout_paper_h5,calibration.gt_error,calibration.rollout_h1,calibration.rollout_h5,calibration.invalid_frame_rate,holdout.rollout_paper_h1,holdout.rollout_paper_h5,holdout.gt_error,holdout.rollout_h1,holdout.rollout_h5,holdout.invalid_frame_rate,all.rollout_paper_h1,all.rollout_paper_h5,all.gt_error,all.rollout_h1,all.rollout_h5,all.invalid_frame_rate
25,0,20,rollout1,1.0,,all,0.0,False,generated,7.930602312088013,out/runs/25f_seed0_steps20/rollout1_s1,0.11132770615669137,0.5498337897087093,1.1289292900744463,0.05666536708054352,0.35118070314967326,0.06992187500000001,0.11776139863014944,0.5930513414210553,1.2381652690840876,0.059382752337339535,0.37653719336129216,0.08387276785714286,0.1169571870709672,0.5876491474570122,1.2245107717078825,0.05904307918024003,0.37336763208483986,0.08212890625000001
25,0,20,rollout1,10.0,,all,0.0,False,generated,8.457531452178955,out/runs/25f_seed0_steps20/rollout1_s10,0.48405863194337606,1.3300936227194022,1.6622504689408448,0.34242533632771077,0.9819866280253726,0.30859375000000006,0.4688084173085887,1.3191759800330551,1.7195998896510258,0.34535810164160125,0.995852912438429,0.3092633928571429,0.4707146941379371,1.3205406853688488,1.7124312120622531,0.34499150597736494,0.9941196268867969,0.3091796875
25,0,20,rollout1,3.0,,all,0.0,False,generated,8.14833402633667,out/runs/25f_seed0_steps20/rollout1_s3,0.19777686442961287,0.7720170069692405,1.258115090285896,0.11856329515568592,0.5085447666095844,0.183203125,0.19990250576133947,0.8020604969535859,1.3627977185473164,0.12000330896163049,0.538532234952183,0.1787388392857143,0.19963680059487363,0.7983050607055427,1.3497123900146386,0.11982330723588741,0.5347838014093582,0.17929687500000002
25,0,20,rollout5,0.03,,all,0.0,False,generated,18.33055090904236,out/runs/25f_seed0_steps20/rollout5_s0.03,0.1302475161022586,0.6373012727493454,1.1989231538504488,0.060808377624693016,0.4070635846277254,0.1296875,0.14558525820994458,0.6875361493314804,1.3095238992191252,0.06726441189439829,0.44899026046079343,0.1435825892857143,0.14366804044648382,0.6812567897587136,1.2956988060480406,0.06645740761068514,0.44374942598165995,0.141845703125
25,0,20,rollout5,0.1,,all,0.0,False,generated,18.21011734008789,out/runs/25f_seed0_steps20/rollout5_s0.1,0.12053885563179717,0.594967516326524,1.1510716184095056,0.056428391597974296,0.3796325402555299,0.11249999999999999,0.13220708638929307,0.6393333769029991,1.2704934919941695,0.060944357764538694,0.4095591735936962,0.12544642857142857,0.13074855754460607,0.6337876443309397,1.2555657577960864,0.06037986199371814,0.4058183444264254,0.12382812500000001
25,0,20,rollout5,0.3,,all,0.0,False,generated,18.136619806289673,out/runs/25f_seed0_steps20/rollout5_s0.3,0.09438102365671024,0.48651614466203597,1.0529254241526735,0.04439913890660301,0.2935107585701159,0.066796875,0.10363296382041898,0.528808256303034,1.1846329036766992,0.04833574143330081,0.32054941782179025,0.07901785714285715,0.1024764712999554,0.5235217423479093,1.168169468736196,0.04784366611746359,0.3171695854153309,0.07749023437500001
25,0,20,rollout5,1.0,,all,0.0,False,generated,17.935370206832886,out/runs/25f_seed0_steps20/rollout5_s1,0.10435069980844283,0.4590193742537724,0.928935017858889,0.0555344860967692,0.2695545456484768,0.07734375,0.1131108093409112,0.5093753327662889,1.0707906363723063,0.05989697569296896,0.3057704222294474,0.08242187499999999,0.11201579564935263,0.5030808379522244,1.053058684058129,0.059351664493443985,0.30124343765682615,0.08178710937500001
25,0,20,rollout5,10.0,,all,0.0,False,generated,18.104135274887085,out/runs/25f_seed0_steps20/rollout5_s10,0.5514698497017969,1.2825709447523561,1.332278664149234,0.40202974460043917,0.9052979363691339,0.276953125,0.5672663391306464,1.342519312766543,1.4072404567117356,0.4161313331353294,0.9538104259338837,0.283203125,0.5652917779520403,1.3350257667647698,1.397870232641423,0.4143686345684682,0.94774636473829,0.282421875
25,0,20,rollout5,3.0,,all,0.0,False,generated,18.63002061843872,out/runs/25f_seed0_steps20/rollout5_s3,0.2089584852224185,0.6917069339499802,1.0806163100000152,0.12959457231931018,0.43130981560202386,0.14492187500000003,0.21597359491348816,0.7440221857126524,1.155527296547127,0.1339010785371977,0.4637882047213563,0.16724330357142855,0.21509670620210444,0.7374827792423184,1.146163423228738,0.13336276525996177,0.4597284060814397,0.164453125
25,0,50,none,0.0,,all,0.0,False,generated,3.8308753967285156,out/runs/25f_seed0_steps50/none,0.1324844245346798,0.6539278931635496,1.2283013421087468,0.05882235294607486,0.4204242143146438,0.1390625,0.14672622279462302,0.7060613536745599,1.3342781300959292,0.06575280598430402,0.4648129512991107,0.15267857142857144,0.1449459980121301,0.6995446711106836,1.3210310315975313,0.06488649935452538,0.45926435917605235,0.15097656250000002
25,0,50,oracle,0.03,,all,0.0,False,generated,8.834635257720947,out/runs/25f_seed0_steps50/oracle_s0.03,0.1277323464552851,0.6361306340916366,1.164171939188214,0.05760081777363722,0.40819770472329053,0.13671875,0.14404027320799967,0.6890730133370103,1.2662636845858815,0.06448224425179652,0.4553635699934765,0.1465401785714286,0.14200178236391037,0.6824552159313386,1.2535022164111727,0.06362206594202661,0.44946783683470326,0.1453125
25,0,50,oracle,0.1,,all,0.0,False,generated,8.80082631111145,out/runs/25f_seed0_steps50/oracle_s0.1,0.12455322304315952,0.5947558145161728,0.9950800707879521,0.05728954098286344,0.3900892628624856,0.13125,0.13521077050661687,0.6441725534807817,1.1063392258352827,0.06062743074861697,0.42464351653340643,0.13666294642857144,0.1338785770736847,0.6379954611102057,1.0924318314543662,0.060210194527897776,0.4203242348245413,0.13598632812500003
25,0,50,oracle,0.3,,all,0.0,False,generated,8.809428453445435,out/runs/25f_seed0_steps50/oracle_s0.3,0.09167366672507601,0.43779016353562117,0.544195601128537,0.04252142891903524,0.27555289081717055,0.076171875,0.11394273098851837,0.5311189326907011,0.6495955176981381,0.05280002910780955,0.34537130997744503,0.11305803571428572,0.11115909795558808,0.519452836546316,0.6364205281269378,0.05151520408421276,0.33664400758241064,0.10844726562500001
25,0,50,oracle,1.0,,all,0.0,False,generated,8.787880182266235,out/runs/25f_seed0_steps50/oracle_s1,0.02448037609447937,0.13966798282977488,0.027128415696023197,0.01438400644946563,0.05410040644005221,0.003515625,0.027560106640452522,0.15422215285167168,0.033410226853756386,0.015830265327074457,0.05982494222647589,0.005524553571428572,0.027175140322205873,0.1524028815989346,0.03262500045903974,0.015649482967373354,0.05910937525317293,0.0052734375
25,0,50,oracle,10.0,,all,0.0,False,generated,8.798590660095215,out/runs/25f_seed0_steps50/oracle_s10,0.11828124920285195,0.3990374421598515,0.23249620967573661,0.07984904166747005,0.20066892738791134,0.06953125,0.11791929092620468,0.4073911633092941,0.2306270838674729,0.07917253517454362,0.20432651349498565,0.05714285714285715,0.11796453571078558,0.4063469481656138,0.23086072459350587,0.07925709848615942,0.2038693152316014,0.05869140625000001
25,0,50,oracle,3.0,,all,0.0,False,generated,8.856302976608276,out/runs/25f_seed0_steps50/oracle_s3,0.03442181561659208,0.1738520701031796,0.06638782460979419,0.021866316526486046,0.06944245968739249,0.004687500000000001,0.034878620767476755,0.17466850037213102,0.06478134437770192,0.022075719595850606,0.06784208023914697,0.005022321428571429,0.03482152012361617,0.17456644658851211,0.06498215440671345,0.022049544212180035,0.06804212767017767,0.0049804687500000005
25,0,50,rollout1,0.03,,all,0.0,False,generated,19.642027378082275,out/runs/25f_seed0_steps50/rollout1_s0.03,0.12758270108578973,0.6477217849547248,1.2204679767712676,0.05611104465096561,0.4119627160570617,0.131640625,0.14232873881996133,0.6956074911166805,1.326983488765103,0.06253473191143975,0.4533075091150071,0.14441964285714287,0.14048548410318987,0.689621777846436,1.3136690497658738,0.061731771003880484,0.4481394099827639,0.142822265625
25,0,50,rollout1,0.1,,all,0.0,False,generated,19.87381410598755,out/runs/25f_seed0_steps50/rollout1_s0.1,0.12164716055242522,0.6396712777563875,1.2015545340719576,0.05185991520932834,0.40693033770792775,0.11445312500000002,0.13110180396175591,0.6676257255600484,1.3069409301671062,0.05522455768853387,0.428928363749627,0.12349330357142858,0.12991997353558957,0.6641314195845907,1.2937676306552124,0.054803977378633184,0.4261786104944146,0.12236328125000001
25,0,50,rollout1,0.3,,all,0.0,False,generated,19.041287183761597,out/runs/25f_seed0_steps50/rollout1_s0.3,0.11104176472354145,0.5941714273581578,1.1663489333289458,0.045175394344203895,0.37487213340590647,0.091796875,0.10942391631695411,0.6051795142247448,1.2706659788611343,0.04426148676719909,0.378807012163341,0.08186383928571428,0.10962614736777752,0.6038035033664213,1.257626348169611,0.04437572521432469,0.3783151523186617,0.08310546875
25,0,50,rollout1,1.0,,all,0.0,False,generated,18.56794261932373,out/runs/25f_seed0_steps50/rollout1_s1,0.09472900627244749,0.5141805684089492,1.11245126044555,0.04302436570987424,0.3311671786108765,0.05585937500000002,0.10045712380979192,0.5564882101344909,1.2202655674990817,0.04505475877325112,0.35830706871547985,0.06417410714285714,0.09974110911762386,0.5511997549187981,1.2067887791173901,0.04480095964032901,0.3549145824524045,0.063134765625
